File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.320667	0.25	-114.405178
2.324833	0.25	-114.401179
2.329000	0.25	-114.407363
2.333167	0.25	-114.403451
2.337333	0.25	-114.407153
2.341500	0.25	-114.397915
2.345667	0.25	-114.398694
2.349833	0.25	-114.398640
2.354000	0.25	-114.397468
2.358167	0.25	-114.392019
2.362333	0.25	-114.387826
2.366500	0.25	-114.386998
2.370667	0.25	-114.385882
2.374833	0.25	-114.389638
2.379000	0.25	-114.387894
2.383167	0.25	-114.383449
2.387333	0.25	-114.376017
2.391500	0.25	-114.374966
2.395667	0.25	-114.362171
2.399833	0.25	-114.352802
2.404000	0.25	-114.337461
2.408167	0.25	-114.311187
2.412333	0.25	-114.274873
2.416500	0.25	-114.250576
2.420667	0.25	-114.201521
2.424833	0.25	-114.147275
2.429000	0.25	-114.092343
2.433167	0.25	-114.015798
2.437333	0.25	-113.943188
2.441500	0.25	-113.883352
2.445667	0.25	-113.804825
2.449833	0.25	-113.744980
2.454000	0.25	-113.680431
2.458167	0.25	-113.636320
2.462333	0.25	-113.606166
2.466500	0.25	-113.590744
2.470667	0.25	-113.573316
2.474833	0.25	-113.586547
2.479000	0.25	-113.598197
2.483167	0.25	-113.622099
2.487333	0.25	-113.664108
2.491500	0.25	-113.700931
2.495667	0.25	-113.744570
2.499833	0.25	-113.802793
2.504000	0.25	-113.860083
2.508167	0.25	-113.910379
2.512333	0.25	-113.954415
2.516500	0.25	-113.994751
2.520667	0.25	-114.036414
2.524833	0.25	-114.068287
2.529000	0.25	-114.105001
2.533167	0.25	-114.132687
2.537333	0.25	-114.156474
2.541500	0.25	-114.175890
2.545667	0.25	-114.176372
2.549833	0.25	-114.183695
2.554000	0.25	-114.188487
2.558167	0.25	-114.197904
2.562333	0.25	-114.195191
2.566500	0.25	-114.197038
2.570667	0.25	-114.197269
2.574833	0.25	-114.206619
2.579000	0.25	-114.200048
2.583167	0.25	-114.201468
2.587333	0.25	-114.206042
2.591500	0.25	-114.204719
2.595667	0.25	-114.205142
2.599833	0.25	-114.205031
2.604000	0.25	-114.218615
2.608167	0.25	-114.211675
2.612333	0.25	-114.221326
2.616500	0.25	-114.229631
2.620667	0.25	-114.222210
2.624833	0.25	-114.220879
2.629000	0.25	-114.217332
2.633167	0.25	-114.210441
2.637333	0.25	-114.184406
2.641500	0.25	-114.168551
2.645667	0.25	-114.143414
2.649833	0.25	-114.104484
2.654000	0.25	-114.051642
2.658167	0.25	-113.987136
2.662333	0.25	-113.915493
2.666500	0.25	-113.833311
2.670667	0.25	-113.718101
2.674833	0.25	-113.589722
2.679000	0.25	-113.455935
2.683167	0.25	-113.322327
2.687333	0.25	-113.175129
2.691500	0.25	-113.024546
2.695667	0.25	-112.877240
