File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.433167	0.25	-111.569361
2.437333	0.25	-111.507554
2.441500	0.25	-111.435279
2.445667	0.25	-111.393317
2.449833	0.25	-111.333861
2.454000	0.25	-111.304382
2.458167	0.25	-111.265007
2.462333	0.25	-111.245029
2.466500	0.25	-111.233684
2.470667	0.25	-111.238866
2.474833	0.25	-111.243183
2.479000	0.25	-111.267962
2.483167	0.25	-111.295147
2.487333	0.25	-111.330265
2.491500	0.25	-111.375060
2.495667	0.25	-111.420494
2.499833	0.25	-111.462734
2.504000	0.25	-111.506678
2.508167	0.25	-111.546212
2.512333	0.25	-111.594609
2.516500	0.25	-111.626403
2.520667	0.25	-111.663868
2.524833	0.25	-111.688176
2.529000	0.25	-111.705163
2.533167	0.25	-111.732479
2.537333	0.25	-111.738658
2.541500	0.25	-111.748134
2.545667	0.25	-111.756186
2.549833	0.25	-111.758395
2.554000	0.25	-111.763732
2.558167	0.25	-111.762303
2.562333	0.25	-111.770656
2.566500	0.25	-111.771807
2.570667	0.25	-111.768570
2.574833	0.25	-111.764512
2.579000	0.25	-111.770736
2.583167	0.25	-111.766221
2.587333	0.25	-111.776877
2.591500	0.25	-111.767473
2.595667	0.25	-111.764986
2.599833	0.25	-111.777402
2.604000	0.25	-111.777708
2.608167	0.25	-111.778839
2.612333	0.25	-111.778302
2.616500	0.25	-111.768977
2.620667	0.25	-111.768592
2.624833	0.25	-111.755220
2.629000	0.25	-111.747024
2.633167	0.25	-111.722394
2.637333	0.25	-111.694998
2.641500	0.25	-111.639631
2.645667	0.25	-111.595139
2.649833	0.25	-111.530378
2.654000	0.25	-111.444637
2.658167	0.25	-111.343684
2.662333	0.25	-111.223380
2.666500	0.25	-111.110353
2.670667	0.25	-110.953872
2.674833	0.25	-110.801657
2.679000	0.25	-110.659751
2.683167	0.25	-110.492975
2.687333	0.25	-110.335236
2.691500	0.25	-110.175095
